x,y,w_right,w_left,x_normvec,y_normvec,alpha,s,psj,kappa,vx,ax
-0.2317751227196343,-0.0034571142800920995,1.625,11.375,0.9911508322255266,0.1327404526835965,0,0,1.703929718215393,0,0.0,0
-0.36451556139475766,0.9876936133465014,1.625,11.375,0.990949475873328,0.1342353763594991,0,1,1.7054381417662487,-0.003016883717088513,1.2698412698412698,0.16666666666666666
-0.5002441698259912,1.9784292463300206,1.625,11.375,0.9902144857210916,0.13955383286787246,0,2,1.710807150930087,-0.007721231740854361,2.5396825396825395,0.3333333333333333
-0.6436197063266795,2.9680976026661923,1.625,11.375,0.9896683563361718,0.14337553650068824,0,3,1.7146676812656951,1.0874006756513176e-16,3.8095238095238093,0.5
-0.7869952428273678,3.957765959002364,1.625,11.375,0.9896737272584263,0.14333845811370433,0,4,1.7146302159005247,7.493073103317971e-05,5.079365079365079,0.6666666666666666
-0.9302966211879149,4.947445047750365,1.625,11.375,0.9896946343172173,0.14319403201149702,0,5,1.714484284395551,0.00021693228101745158,6.349206349206348,0.8333333333333334
-1.0733833040018959,5.937155207949446,1.625,11.375,0.9896342126110743,0.1436110205717481,0,6,1.7149056277763937,-0.0010596275237174109,7.619047619047619,1.0
-1.217517503929766,6.92670549034071,1.625,11.375,0.9884722675432651,0.1514020353161602,0,7,1.722782832099083,-0.014695405282027924,8.88888888888889,1.1666666666666667
-1.3761780227088394,7.914038686268385,1.625,11.375,0.9873331959276743,0.15866051877907328,0,8,1.7301301655729493,0.0,10.158730158730158,1.3333333333333333
-1.5348385414879127,8.90137188219606,1.625,11.375,0.9873309815080868,0.1586742983418486,0,9,1.7301441219336637,-2.79127215872259e-05,11.428571428571427,1.5
-1.6935266184866224,9.88870064364762,1.625,11.375,0.9867794858442425,0.16206864692769107,0,10,1.7335829824198565,-0.006849987731771499,12.698412698412696,1.6666666666666667
-1.8589711677877607,10.874902434766241,1.625,11.375,0.9857777789259747,0.16805407039334713,0,11,1.739651658045014,-0.00528745481528758,13.968253968253968,1.8333333333333333
-2.02963071701298,11.860232490259449,1.625,11.375,0.9853300554932063,0.17065954922521934,0,12,1.7422953260056457,-8.084160992779348e-17,15.238095238095237,2.0
-2.2002902662381993,12.845562545752655,1.625,11.375,0.9853293415040668,0.17066367150381473,0,13,1.7422995096597076,-8.367308123994713e-06,16.507936507936506,2.1666666666666665
-2.370958060012707,13.830891173221959,1.625,11.375,0.9853280400803976,0.17067118512309662,0,14,1.7423071351549886,-6.883682438407594e-06,17.77777777777778,2.3333333333333335
-2.5416326364774555,14.8162186258734,1.625,11.375,0.9853274526514415,0.17067457646474865,0,15,1.742310576996208,-4.311529750771552e-16,17.77777777777778,0
-2.7123072129422043,15.801546078524842,1.625,11.375,0.984119382857853,0.17750785977944317,0,16,1.7492498411296595,-0.013879598615253059,17.77777777777778,0
-2.896632681808861,16.784370492276057,1.625,11.375,0.9823265277133224,0.18717530005502125,0,17,1.7590821607887583,-0.005785590724832696,17.77777777777778,0
-3.086648732226606,17.76615147629624,1.625,11.375,0.9817809840201842,0.19001605041774466,0,18,1.7619748215671773,1.1236440618098945e-15,17.77777777777778,0
-3.2766647826443505,18.747932460316427,1.625,11.375,0.9804223412379169,0.19690615226945465,0,19,1.7689976142053276,-0.014046684859108661,17.77777777777778,0
-3.4804432149195472,19.726907421392628,1.625,11.375,0.9784134678985743,0.20665692786520748,0,20,1.7789532164192514,-0.005865078199841937,17.77777777777778,0
-3.689968349329568,20.704710682816145,1.625,11.375,0.977803261423515,0.20952513441002052,0,21,1.7818856159295098,-7.430383559940118e-16,17.77777777777778,0
-3.8994934837395885,21.68251394423966,1.625,11.375,0.977803261423515,0.2095251344100203,0,22,1.7818856159295096,1.1676317022763048e-15,17.77777777777778,0
-4.109018618149609,22.660317205663176,1.625,11.375,0.977803261423515,0.20952513441002052,0,23,1.7818856159295098,-1.6187621327012401e-15,17.77777777777778,0
-4.31854375255963,23.63812046708669,1.625,11.375,0.9749737104512812,0.22232018335918405,0,24,1.7949898936156325,-0.026221700628412684,17.77777777777778,0
-4.553537068931197,24.609729970505956,1.625,11.375,0.9684968857888507,0.24902566578025187,0,25,1.8224704244062806,-0.02874681140551527,17.77777777777778,0
-4.816449891579599,25.574549563842996,1.625,11.375,0.9648195933370394,0.26291282264840166,0,26,1.8368363269186638,0.0,17.77777777777778,0
-5.079362714228001,26.539369157180037,1.625,11.375,0.9648195933370394,0.26291282264840166,0,27,1.8368363269186638,0.0,17.77777777777778,0
-5.342275536876403,27.504188750517077,1.625,11.375,0.9648195933370393,0.26291282264840204,0,28,1.8368363269186643,-9.301328184533834e-16,17.77777777777778,0
-5.605188359524805,28.469008343854114,1.625,11.375,0.963775185240754,0.2667159393702415,0,29,1.8407802469525134,-0.007888740765796001,17.77777777777778,0
-5.875675621152498,29.43162423204265,1.625,11.375,0.9590779326961631,0.2831422240063357,0,30,1.8578651557472787,-0.026284155534174927,17.77777777777778,0
-6.171394576067717,30.38689921847528,1.625,11.375,0.9552749864326243,0.29571895491521927,0,31,1.871004373544019,-1.0637910715527907e-15,17.77777777777778,0
-6.467113530982937,31.342174204907902,1.625,11.375,0.9552749864326241,0.2957189549152197,0,32,1.8710043735440194,0.0,17.77777777777778,0
-6.762832485898157,32.297449191340526,1.625,11.375,0.9552749864326238,0.29571895491522077,0,33,1.8710043735440205,-1.8742985546406356e-15,17.77777777777778,0
-7.058551440813377,33.252724177773146,1.625,11.375,0.955274986432624,0.29571895491522016,0,34,1.8710043735440198,2.938089626193425e-15,17.77777777777778,0
-7.354270395728597,34.20799916420577,1.625,11.375,0.9552749864326244,0.2957189549152189,0,35,1.8710043735440185,0.0,17.77777777777778,0
-7.649989350643817,35.1632741506384,1.625,11.375,0.955274986432624,0.29571895491522016,0,36,1.8710043735440198,-2.938089626193425e-15,17.77777777777778,0
-7.945708305559037,36.11854913707102,1.625,11.375,0.9488495635388245,0.3157285317676915,0,37,1.8920206882093427,-0.04204487032358245,17.77777777777778,0
-8.281300328809028,37.06053425169914,1.625,11.375,0.9418369981925537,0.33607003561109033,0,38,1.9135374424463203,-0.0009999956533107324,17.77777777777778,0
-8.617841228878802,38.00220310144422,1.625,11.375,0.9416688497450824,0.33654090006977394,0,39,1.9140374296902039,-6.89135588378863e-16,17.77777777777778,0
-8.954382128948575,38.9438719511893,1.625,11.375,0.9416688497450824,0.33654090006977394,0,40,1.9140374296902039,6.89135588378863e-16,17.77777777777778,0
-9.29092302901835,39.885540800934386,1.625,11.375,0.9416688497450824,0.33654090006977394,0,41,1.9140374296902039,-6.89135588378863e-16,17.77777777777778,0
-9.627463929088123,40.827209650679464,1.625,11.375,0.9402816460441616,0.34039745315216724,0,42,1.9181358878512393,-0.008198248988429467,17.77777777777778,0
-9.971660111375305,41.765944365633686,1.625,11.375,0.9322867334159506,0.3617201220510359,0,43,1.9409086182198534,-0.03735423986298085,17.77777777777778,0
-10.350722702528987,42.69131540040183,1.625,11.375,0.9253710347681394,0.37906259115368135,0,44,1.9595794041961894,0.0,17.77777777777778,0
-10.729785293682669,43.61668643516997,1.625,11.375,0.9253710347681389,0.37906259115368257,0,45,1.9595794041961907,-2.7094858836178515e-15,17.77777777777778,0
-11.10884788483635,44.5420574699381,1.625,11.375,0.9253710347681385,0.3790625911536834,0,46,1.9595794041961916,1.0457664813963626e-15,17.77777777777778,0
-11.487910475990034,45.46742850470624,1.625,11.375,0.9253710347681391,0.3790625911536822,0,47,1.9595794041961903,1.6637194022214823e-15,17.77777777777778,0
-11.866973067143716,46.39279953947438,1.625,11.375,0.9253710347681394,0.37906259115368135,0,48,1.9595794041961894,0.0,17.77777777777778,0
-12.246035658297398,47.31817057424252,1.625,11.375,0.921890759770661,0.3874499026319059,0,49,1.9686601461551474,-0.01816523592113196,17.77777777777778,0
-12.64177610724864,48.23635081787939,1.625,11.375,0.9146491434452076,0.40424861706003135,0,50,1.9869535095892281,-0.018422902211060715,17.77777777777778,0
-13.054430979265186,49.14723827338693,1.625,11.375,0.910887455507544,0.41265487201654605,0,51,1.9961630708172313,1.6120470781053247e-15,17.77777777777778,0
-13.46708585128173,50.058125728894474,1.625,11.375,0.9108874555075446,0.4126548720165448,0,52,1.99616307081723,1.3356961504301237e-15,17.77777777777778,0
-13.879740723298276,50.96901318440202,1.625,11.375,0.9108874555075444,0.41265487201654544,0,53,1.9961630708172307,-2.947743228535443e-15,17.77777777777778,0
-14.292395595314822,51.879900639909565,1.625,11.375,0.9108874555075446,0.4126548720165448,0,54,1.99616307081723,4.5597903066407674e-15,17.77777777777778,0
-14.705050467331366,52.79078809541711,1.625,11.375,0.9106137627530028,0.41325848458902575,0,55,1.9968258346346073,-0.0013255415612772846,17.77777777777778,0
-15.118908117011742,53.70111836540497,1.625,11.375,0.907089139231068,0.42093858636271403,0,56,2.00527612215292,-0.015575414295958517,17.77777777777778,0
-15.546897767350643,54.604902000575905,1.625,11.375,0.9037836351709321,0.427989650338902,0,57,2.0130635586222274,-1.6323439783916397e-15,17.77777777777778,0
-15.974887417689546,55.508685635746836,1.625,11.375,0.9037836351709316,0.4279896503389028,0,58,2.0130635586222283,0.0,17.77777777777778,0
-16.40287706802845,56.41246927091777,1.625,11.375,0.9037836351709321,0.427989650338902,0,59,2.0130635586222274,1.6323439783916397e-15,17.77777777777778,0
-16.83086671836735,57.3162529060887,1.625,11.375,0.9037836351709316,0.4279896503389028,0,60,2.0130635586222283,-3.219345068494618e-15,17.77777777777778,0
-17.258856368706255,58.22003654125963,1.625,11.375,0.9022716907354857,0.43116794419034443,0,61,2.016583152429698,-0.007039714566603316,17.77777777777778,0
-17.693166976849472,59.120721727636436,1.625,11.375,0.8963691686130406,0.4433083729865321,0,62,2.0300825059748195,-0.019959712322404868,17.77777777777778,0
-18.145397828875538,60.01262265065187,1.625,11.375,0.8919009230154306,0.4522308520260675,0,63,2.040061317388092,-6.358811529134193e-15,17.77777777777778,0
-18.597628680901607,60.9045235736673,1.625,11.375,0.8919009230154306,0.4522308520260675,0,64,2.040061317388092,6.358811529134193e-15,17.77777777777778,0
-19.049859532927673,61.79642449668273,1.625,11.375,0.8919009230154306,0.4522308520260675,0,65,2.040061317388092,-6.358811529134193e-15,17.77777777777778,0
-19.502090384953743,62.68832541969816,1.625,11.375,0.8919009230154306,0.4522308520260675,0,66,2.040061317388092,6.358811529134193e-15,17.77777777777778,0
-19.95432123697981,63.580226342713594,1.625,11.375,0.8930431958586171,0.4499709438737435,0,67,2.03752912949393,0.0050644788817300525,17.77777777777778,0
-20.402021172384305,64.47438978096513,1.625,11.375,0.8957879289210149,0.44448170535962317,0,68,2.031391913734955,0.007209995092946226,17.77777777777778,0
-20.84327075655422,65.371774204983,1.625,11.375,0.8973844240178679,0.44124958416991117,0,69,2.0277869979172607,0.0,17.77777777777778,0
-21.284520340724132,66.26915862900087,1.625,11.375,0.8973844240178664,0.441249584169914,0,70,2.027786997917264,-6.258428920979003e-15,17.77777777777778,0
-21.725769924894045,67.16654305301873,1.625,11.375,0.8973844240178664,0.441249584169914,0,71,2.027786997917264,6.258428920979003e-15,17.77777777777778,0
-22.16701950906396,68.0639274770366,1.625,11.375,0.8935361789650552,0.4489911991125536,0,72,2.036432346807661,-0.017292204280098807,17.77777777777778,0
-22.623690603822105,68.95349258354162,1.625,11.375,0.8879584714803834,0.4599236381468353,0,73,2.048705526298726,-0.007254605415720974,17.77777777777778,0
-23.08683188902606,69.83977704687133,1.625,11.375,0.8862844633297076,0.4631412852039561,0,74,2.052332587132947,-6.540602642321149e-15,17.77777777777778,0
-23.54997317423002,70.72606151020103,1.625,11.375,0.8862844633297061,0.46314128520395886,0,75,2.05233258713295,0.0,17.77777777777778,0
-24.013114459433975,71.61234597353074,1.625,11.375,0.8862844633297076,0.4631412852039561,0,76,2.052332587132947,6.540602642321149e-15,17.77777777777778,0
-24.476255744637932,72.49863043686045,1.625,11.375,0.8819744578226338,0.4712972053263961,0,77,2.0615573247418957,-0.01845076683177125,17.77777777777778,0
-24.95564623102506,73.37617766791548,1.625,11.375,0.8763438849388299,0.4816859924580732,0,78,2.0733739178979023,-0.005182837096464463,17.77777777777778,0
-25.43960146538396,74.25127042364863,1.625,11.375,0.8750927557331425,0.48395523435889665,0,79,2.0759652084742637,-3.740856798774175e-15,17.77777777777778,0
-25.923556699742853,75.12636317938177,1.625,11.375,0.8750927557331425,0.48395523435889665,0,80,2.0759652084742637,3.740856798774175e-15,17.77777777777778,0
-26.407511934101752,76.00145593511492,1.625,11.375,0.8750927557331416,0.4839552343588982,0,81,2.0759652084742655,-6.8865772886524414e-15,17.77777777777778,0
-26.89146716846065,76.87654869084805,1.625,11.375,0.8710047688764415,0.491274559278716,0,82,2.0843487975315527,-0.016768168681116122,17.77777777777778,0
-27.390004251495387,77.74336476729775,1.625,11.375,0.8655042316405471,0.500901612107913,0,83,2.095436507643192,-0.005407488581246694,17.77777777777778,0
-27.89324402322952,78.60751159055464,1.625,11.375,0.8641468232568901,0.5032397717341359,0,84,2.098140126035307,-3.0675173611620776e-15,17.77777777777778,0
-28.396483794963657,79.47165841381153,1.625,11.375,0.8641468232568901,0.5032397717341359,0,85,2.098140126035307,3.0675173611620776e-15,17.77777777777778,0
-28.89972356669779,80.33580523706841,1.625,11.375,0.8641468232568925,0.5032397717341317,0,86,2.098140126035302,7.212811092462187e-15,17.77777777777778,0
-29.402963338431924,81.19995206032532,1.625,11.375,0.8620968161159165,0.5067436034552381,0,87,2.1021996073616203,-0.008119055235559596,17.77777777777778,0
-29.91319782705808,82.05997684400063,1.625,11.375,0.8594620980629003,0.5111994737803606,0,88,2.10737614862111,-0.002234046591071506,17.77777777777778,0
-30.42535701204737,82.91886738954827,1.625,11.375,0.8588905455476311,0.5121591849892888,0,89,2.1084931616075995,-4.25881934163126e-15,17.77777777777778,0
-30.937516197036658,83.77775793509589,1.625,11.375,0.8588905455476293,0.5121591849892918,0,90,2.108493161607603,-3.0303137623145564e-15,17.77777777777778,0
-31.449675382025948,84.63664848064352,1.625,11.375,0.8588905455476311,0.5121591849892888,0,91,2.1084931616075995,1.0319446866260361e-14,17.77777777777778,0
-31.961834567015234,85.49553902619115,1.625,11.375,0.8600516222492371,0.5102070237329701,0,92,2.1062218107109625,0.004542710612667731,17.77777777777778,0
-32.47008614805324,86.35674619364889,1.625,11.375,0.8613506060932318,0.5080109579357734,0,93,2.1036703273102084,0.0005602592334208924,17.77777777777778,0
-32.977855796554245,87.21823907467645,1.625,11.375,0.8614928810275588,0.5077696485010071,0,94,2.103390198052975,-6.0974091132288794e-15,17.77777777777778,0
-33.485625445055256,88.079731955704,1.625,11.375,0.8614928810275588,0.5077696485010071,0,95,2.103390198052975,6.0974091132288794e-15,17.77777777777778,0
-33.99339509355626,88.94122483673156,1.625,11.375,0.857966766962882,0.5137051944328184,0,96,2.110294137162631,-0.013810857981341237,17.77777777777778,0
-34.51290313607362,89.79544386379409,1.625,11.375,0.8463727733211174,0.5325909580350763,0,97,2.1324552033462845,-0.030511667562930323,17.77777777777778,0
-35.058340910210454,90.63359518339256,1.625,11.375,0.8381513195984679,0.5454377741368367,0,98,2.1477076620086826,0.0,17.77777777777778,0
-35.60377868434729,91.47174650299102,1.625,11.375,0.8381513195984679,0.5454377741368367,0,99,2.1477076620086826,0.0,17.77777777777778,0
-36.149216458484126,92.30989782258949,1.625,11.375,0.8381513195984679,0.5454377741368367,0,100,2.1477076620086826,0.0,17.77777777777778,0
-36.69465423262096,93.14804914218796,1.625,11.375,0.8381513195984671,0.5454377741368378,0,101,2.147707662008684,-5.403041096025015e-15,17.77777777777778,0
-36.95230274236661,93.54396678609818,1.625,8.125,0.8495395296097107,0.5275249639879724,0,102,2.126480862609361,0.042304284935819905,17.876984126984127,0.16666666666666666
-37.47128357805413,94.39875266115058,1.625,8.125,0.8547858750523947,0.5189808356875155,0,103,2.1164545416960108,-7.381868359824476e-15,17.976190476190474,0.3333333333333333
-37.99026441374164,95.25353853620297,1.625,8.125,0.8547720232858623,0.5190036495129811,0,104,2.1164812314331485,-5.337947429661847e-05,18.075396825396826,0.5
-38.509290876460234,96.10829670670144,1.625,8.125,0.8508602409365208,0.5253920920545396,0,105,2.1239721927638477,-0.014929583807634633,18.174603174603174,0.6666666666666666
-39.04098469364685,96.95515552670808,1.625,8.125,0.8445557698006386,0.5354676009773613,0,106,2.1358576418216932,-0.008841376736204875,18.273809523809526,0.8333333333333334
-39.58018032027784,97.79733607517855,1.625,8.125,0.8421805484704649,0.539195626630991,0,107,2.1402780358605393,0.0,18.37301587301587,1.0
-40.11937594690883,98.63951662364902,1.625,8.125,0.8421709453167567,0.5392106256967498,0,108,2.140295845760449,-3.561979983306483e-05,18.47222222222222,1.1666666666666667
-40.65860157129684,99.48167796522715,1.625,8.125,0.8412597777037958,0.5406311001207387,0,109,2.1419834401086346,-0.0033395958658421136,18.571428571428573,1.3333333333333333
-41.2006322823701,100.3220270530487,1.625,8.125,0.8390369245866458,0.5440744794420919,0,110,2.1460819716316832,-0.004857467047010773,18.670634920634917,1.5
-41.746742935918334,101.15974010301339,1.625,8.125,0.837713049964681,0.5461106535482273,0,111,2.1485106856750993,-1.7919613064372046e-15,18.76984126984127,1.6666666666666667
-42.29285358946656,101.99745315297807,1.625,8.125,0.8375970566408336,0.546288541621195,0,112,2.148723050026747,-0.0004247287592795673,18.86904761904762,1.8333333333333333
-42.839319922080456,102.83493406744671,1.625,8.125,0.8357476465396283,0.5491137143647684,0,113,2.1520997243650766,-0.0063288213329689555,18.96825396825397,2.0
-43.39105778790154,103.66891308969397,1.625,8.125,0.8308818692470337,0.5564488470259914,0,114,2.160902022933408,-0.011275752369596026,19.067460317460316,2.1666666666666665
-43.95218203478563,104.49664467635644,1.625,8.125,0.827731586662465,0.5611242468840908,0,115,2.1665397288834773,0.0,19.166666666666668,2.3333333333333335
-44.51330628166972,105.3243762630189,1.625,8.125,0.8276956217465328,0.5611772961744091,0,116,2.1666038202431346,-0.0001281827213571763,19.166666666666668,2.5
-45.07453661568931,106.15203590296876,1.625,8.125,0.8275883356392826,0.5613355028089726,0,117,2.166794973710642,-0.0002541242132561034,19.166666666666668,2.3333333333333335
-45.63597726908247,106.97955290745718,1.625,8.125,0.8245079714472942,0.565850338004554,0,118,2.1722605436500078,-0.010676995215243634,19.166666666666668,2.1666666666666665
-46.20622049516089,107.80102737140756,1.625,8.125,0.8214121913601027,0.5703349997019244,0,119,2.1777099581484953,-0.0002218006846317024,19.166666666666668,2.0
-46.77664658614088,108.62237630744467,1.625,8.125,0.8213489360371123,0.5704260909799828,0,120,2.177820858359665,5.841982212305163e-15,19.166666666666668,1.8333333333333333
-47.347072677120856,109.44372524348178,1.625,8.125,0.8211492662570451,0.5707134854947064,0,121,2.1781708063978296,-0.0006998960686275222,19.166666666666668,1.6666666666666667
-47.918073484243116,110.26467473508784,1.625,8.125,0.8194948043206238,0.5730866127310098,0,122,2.1810637258601386,-0.005085971924235534,19.166666666666668,1.5
-48.49323837701334,111.08270409080878,1.625,8.125,0.8172787284582244,0.5762425531056415,0,123,2.1849200155672204,-0.0026266020042722605,19.166666666666668,1.3333333333333333
-49.07055375899662,111.89922533959873,1.625,8.125,0.8165212487899509,0.5773153819832788,0,124,2.1862333081836747,-8.216146809517766e-15,19.166666666666668,1.1666666666666667
