time;type;message
1717157720.1854522;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.1916027;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.2430031;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.291438;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.343147;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.3927348;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.443105;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.492131;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.5424068;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.5918875;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.642505;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.691555;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.7426686;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.7926157;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.8422735;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.8927357;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.9426477;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157720.9916892;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.0426402;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.0919168;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.142654;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.1913717;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.2423851;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.2914565;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.3426056;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.3926148;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.4423883;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.4914823;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.542844;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.5918076;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.6434536;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.6913247;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.7428453;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.7914426;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.8428183;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.892281;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157721.9426463;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
