time;type;message
1716456617.5963242;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1716456617.6968489;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456617.7968683;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456617.996812;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456618.1967711;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456618.2969172;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456618.4967928;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456618.5968416;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456618.7968426;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456618.8968692;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456618.9969609;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456619.2968547;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456619.3968904;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456619.896848;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456619.996882;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456620.0968988;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456620.4968665;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456620.696857;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456620.7968695;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456620.896905;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456620.9969027;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456621.196848;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1716456621.2968993;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
