         14553892 function calls (14337740 primitive calls) in 35.075 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   35.074   35.074 planning.py:56(main)
        1    0.033    0.033   33.966   33.966 planning.py:34(execute)
     2405   25.368    0.011   25.368    0.011 {built-in method time.sleep}
      600    0.010    0.000   24.868    0.041 /opt/ros/noetic/lib/python3/dist-packages/rospy/timer.py:90(sleep)
      600    0.004    0.000   24.802    0.041 /opt/ros/noetic/lib/python3/dist-packages/rospy/timer.py:116(sleep)
      600    0.003    0.000   24.797    0.041 /opt/ros/noetic/lib/python3/dist-packages/rospy/rostime.py:258(wallsleep)
      601    0.010    0.000    4.079    0.007 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/ltpl.py:52(execute)
        1    0.000    0.000    3.943    3.943 planning.py:30(map_publish)
        1    0.000    0.000    3.921    3.921 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/map.py:28(get_vizs)
        1    0.019    0.019    3.794    3.794 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:33(MicroLaneletGraphViz)
     1571    0.081    0.000    3.758    0.002 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:118(Edge)
      601    0.009    0.000    3.514    0.006 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/Graph_LTPL.py:300(calc_paths)
      601    0.069    0.000    3.501    0.006 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/OnlineTrajectoryHandler.py:289(calc_paths)
      601    0.060    0.000    3.312    0.006 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/main_online_path_gen.py:14(main_online_path_gen)
    46214    0.053    0.000    3.220    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/quadratic_spline_interpolate.py:41(calc_position)
    92428    0.078    0.000    3.167    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/polyint.py:62(__call__)
    92428    0.087    0.000    2.486    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/interpolate.py:656(_evaluate)
    92428    0.903    0.000    2.368    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/interpolate.py:587(_call_linear)
      601    0.017    0.000    2.223    0.004 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/gen_local_node_template.py:13(gen_local_node_template)
381452/348763    0.265    0.000    1.572    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      601    0.089    0.000    1.403    0.002 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:713(remove_nodes_filter)
3005/1202    0.051    0.000    1.226    0.001 /home/kana/.local/lib/python3.8/site-packages/igraph/__init__.py:3583(select)
    92428    0.042    0.000    1.148    0.000 {method 'clip' of 'numpy.ndarray' objects}
        1    0.003    0.003    1.109    1.109 planning.py:22(__init__)
    92428    0.139    0.000    1.106    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_methods.py:97(_clip)
     1803    0.760    0.000    1.105    0.001 /home/kana/.local/lib/python3.8/site-packages/igraph/__init__.py:3712(<listcomp>)
      601    0.085    0.000    1.041    0.002 /home/kana/catkin_ws/src/mobinha-racing/planning/ros_handler.py:71(publish2)
     1202    0.795    0.001    0.825    0.001 {method 'induced_subgraph' of 'igraph.Graph' objects}
      601    0.010    0.000    0.749    0.001 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:674(set_node_filter_layers)
     1201    0.010    0.000    0.718    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:859(publish)
   184856    0.335    0.000    0.707    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_methods.py:63(_clip_dep_is_scalar_nan)
     1201    0.021    0.000    0.698    0.001 /opt/ros/noetic/lib/python3/dist-packages/rospy/topics.py:1019(publish)
      601    0.009    0.000    0.547    0.001 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/Graph_LTPL.py:344(calc_vel_profile)
     1801    0.012    0.000    0.533    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/impl/tcpros_pubsub.py:407(write_data)
    92428    0.058    0.000    0.528    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/polyint.py:88(_prepare_x)
        1    0.000    0.000    0.482    0.482 /home/kana/catkin_ws/src/mobinha-racing/planning/ros_handler.py:10(__init__)
        1    0.000    0.000    0.478    0.478 /opt/ros/noetic/lib/python3/dist-packages/rospy/client.py:190(init_node)
    92428    0.180    0.000    0.450    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/_lib/_util.py:193(_asarray_validated)
      601    0.047    0.000    0.443    0.001 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/calc_splines_opt.py:15(calc_splines_optimized)
      601    0.046    0.000    0.441    0.001 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/OnlineTrajectoryHandler.py:608(calc_vel_profile)
      600    0.002    0.000    0.388    0.001 /home/kana/catkin_ws/src/mobinha-racing/planning/ros_handler.py:92(publish_path_viz)
   187720    0.063    0.000    0.378    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.372    0.372 /opt/ros/noetic/lib/python3/dist-packages/rospy/core.py:382(configure_logging)
        1    0.000    0.000    0.372    0.372 /opt/ros/noetic/lib/python3/dist-packages/rosgraph/roslogging.py:106(configure_logging)
        1    0.000    0.000    0.370    0.370 /usr/lib/python3/dist-packages/rospkg/rospack.py:199(get_path)
        1    0.000    0.000    0.370    0.370 /usr/lib/python3/dist-packages/rospkg/rospack.py:173(_update_location_cache)
        3    0.021    0.007    0.370    0.123 /usr/lib/python3/dist-packages/rospkg/rospack.py:49(list_by_path)
163345/18996    0.103    0.000    0.331    0.000 /usr/lib/python3.8/os.py:280(walk)
   160819    0.109    0.000    0.328    0.000 /opt/ros/noetic/lib/python3/dist-packages/geometry_msgs/msg/_Point.py:22(__init__)
        1    0.000    0.000    0.320    0.320 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/ltpl.py:18(__init__)
        1    0.000    0.000    0.320    0.320 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/ltpl.py:22(setting_values)
     1202    0.002    0.000    0.310    0.000 <__array_function__ internals>:2(solve)
     1202    0.282    0.000    0.306    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:323(solve)
